problem,method,iterations,converged,f_final,grad_norm,func_evals,time,linesearch,timeout
P1_quad_10_10,SD_armijo,52,True,-47.65679872786531,1.0943174040401798e-07,64,0.08377504348754883,Armijo,False
P2_quad_10_1000,SD_armijo,1000,False,-4210.068611344798,0.09932133912150577,1361,1.5355079174041748,Armijo,False
P3_quad_1000_10,SD_armijo,48,True,-1309.0332461629978,9.491755492946881e-07,58,61.26796913146973,Armijo,False
P5_quartic_1,SD_armijo,3,True,6.118491002605206e-19,1.1062089316765804e-09,3,0.0007910728454589844,Armijo,False
P6_quartic_2,SD_armijo,32,True,4.24857807664928e-06,0.0034768153522961834,50,0.0018339157104492188,Armijo,False
P7_Extended_Rosenbrock_n2,SD_armijo,1000,False,0.003533187676736816,0.0873409762647525,1370,0.021652936935424805,Armijo,False
P8_Extended_Rosenbrock_n100,SD_armijo,45,True,3.98662385430094,1.7532751327924474e-06,63,0.06133699417114258,Armijo,False
P9_Beale,SD_armijo,630,True,9.624853025132555e-14,2.773830202007076e-07,842,0.021908044815063477,Armijo,False
P10_exponential_10,SD_armijo,1000,False,-0.20557280499687294,1.1636471162493656e-06,1339,0.04146218299865723,Armijo,False
P11_exponential_1000,SD_armijo,12,True,-0.20557280900008407,4.870675529566881e-10,14,0.0012001991271972656,Armijo,False
P12_genhumps_5,SD_armijo,138,True,1.1134092556738511e-12,6.668473268118002e-07,171,0.008430004119873047,Armijo,False
