problem,method,iterations,converged,f_final,grad_norm,func_evals,time,linesearch,timeout
P1_quad_10_10,SD_armijo,54,True,-47.656798727865336,6.988203805902121e-08,64,0.09003782272338867,Armijo,False
P2_quad_10_1000,SD_armijo,1000,False,-4210.073943831703,0.3118700345632087,1342,1.5171492099761963,Armijo,False
P3_quad_1000_10,SD_armijo,53,True,-1309.0332461629964,1.1124927926559887e-06,60,61.05811381340027,Armijo,False
P5_quartic_1,SD_armijo,3,True,6.118491002605206e-19,1.1062089316765804e-09,3,0.0011067390441894531,Armijo,False
P6_quartic_2,SD_armijo,32,True,4.24857807664928e-06,0.0034768153522961834,50,0.0018138885498046875,Armijo,False
P7_Extended_Rosenbrock_n2,SD_armijo,1000,False,0.003533187676736816,0.0873409762647525,1370,0.021054983139038086,Armijo,False
P8_Extended_Rosenbrock_n100,SD_armijo,45,True,3.98662385430094,1.7532751327924474e-06,63,0.06366205215454102,Armijo,False
P9_Beale,SD_armijo,630,True,9.624853025132555e-14,2.773830202007076e-07,842,0.021867990493774414,Armijo,False
P10_exponential_10,SD_armijo,1000,False,-0.20557280499687294,1.1636471162493656e-06,1339,0.040927886962890625,Armijo,False
P11_exponential_1000,SD_armijo,12,True,-0.20557280900008407,4.870675529566881e-10,14,0.0011408329010009766,Armijo,False
P12_genhumps_5,SD_armijo,138,True,1.1134092556738511e-12,6.668473268118002e-07,171,0.008461952209472656,Armijo,False
P1_quad_10_10,SD_wolfe,132,True,-47.65679872786532,9.654598612852293e-08,162,0.2702291011810303,Wolfe,False
P2_quad_10_1000,SD_wolfe,1000,False,-4214.298263010707,0.051670641200421384,2446,2.771442174911499,Wolfe,False
P5_quartic_1,SD_wolfe,2,True,1.600925598052903e-19,5.658490254569505e-10,2,0.00024509429931640625,Wolfe,False
P6_quartic_2,SD_wolfe,7,True,2.3590400470811956e-06,0.002547078960680451,82,0.0017049312591552734,Wolfe,False
P7_Extended_Rosenbrock_n2,SD_wolfe,1000,False,0.00033707979498187515,0.025046287723065972,9882,0.07597732543945312,Wolfe,False
P8_Extended_Rosenbrock_n100,SD_wolfe,62,True,3.9866238543009382,1.8940955942407874e-06,681,0.3269031047821045,Wolfe,False
P9_Beale,SD_wolfe,878,True,6.639651487239586e-14,2.5196291680051075e-07,4836,0.07056307792663574,Wolfe,False
P10_exponential_10,SD_wolfe,30,True,-0.20557280900007913,7.251741079850049e-08,41,0.0015418529510498047,Wolfe,False
P11_exponential_1000,SD_wolfe,19,True,-0.20557280899879904,1.1771435446394918e-06,23,0.002396821975708008,Wolfe,False
P12_genhumps_5,SD_wolfe,185,True,7.444315592394994e-12,1.7256089467077995e-06,400,0.01735997200012207,Wolfe,False
P1_quad_10_10,Newton_armijo,1,True,-47.65679872786538,2.321575962437516e-15,1,0.001806020736694336,Armijo,False
P2_quad_10_1000,Newton_armijo,1,True,-4214.8009607509175,1.858328716572403e-13,1,0.0014529228210449219,Armijo,False
P3_quad_1000_10,Newton_armijo,1,True,-1309.0332461630019,2.051064370459546e-13,1,1.1227340698242188,Armijo,False
P4_quad_1000_1000,Newton_armijo,1,True,-3622.005917443027,5.762748882844048e-13,1,1.1357340812683105,Armijo,False
P5_quartic_1,Newton_armijo,2,True,3.778904386417301e-17,8.69356588106089e-09,2,0.0002448558807373047,Armijo,False
P6_quartic_2,Newton_armijo,16,True,1.395373982156756e-06,0.0023499973547434928,16,0.0006840229034423828,Armijo,False
P7_Extended_Rosenbrock_n2,Newton_armijo,21,True,3.743975643139474e-21,4.473328123560842e-10,28,0.0004191398620605469,Armijo,False
P8_Extended_Rosenbrock_n100,Newton_armijo,4,True,3.9866238543009347,6.46710106413705e-07,4,0.003921985626220703,Armijo,False
P9_Beale,Newton_armijo,1,True,14.203125,0.0,1,8.320808410644531e-05,Armijo,False
P10_exponential_10,Newton_armijo,1000,False,0.999971792270761,0.000714525015093224,51533,0.6278369426727295,Armijo,False
P11_exponential_1000,Newton_armijo,1000,False,0.9999999824283248,1.506356378212814e-06,50183,8.280874013900757,Armijo,False
P12_genhumps_5,Newton_armijo,1000,False,92164.9349660398,176.22434527546017,49902,0.881666898727417,Armijo,False
P1_quad_10_10,Newton_wolfe,1,True,-47.65679872786538,2.321575962437516e-15,1,0.0022919178009033203,Wolfe,False
P2_quad_10_1000,Newton_wolfe,1,True,-4214.8009607509175,1.858328716572403e-13,1,0.0017349720001220703,Wolfe,False
P3_quad_1000_10,Newton_wolfe,1,True,-1309.0332461630019,2.051064370459546e-13,1,1.3859050273895264,Wolfe,False
P4_quad_1000_1000,Newton_wolfe,1,True,-3622.005917443027,5.762748882844048e-13,1,1.386018991470337,Wolfe,False
P5_quartic_1,Newton_wolfe,2,True,3.778904386417301e-17,8.69356588106089e-09,2,0.0002460479736328125,Wolfe,False
P6_quartic_2,Newton_wolfe,16,True,1.395373982156756e-06,0.0023499973547434928,16,0.0008361339569091797,Wolfe,False
P7_Extended_Rosenbrock_n2,Newton_wolfe,21,True,3.743975643139474e-21,4.473328123560842e-10,28,0.0005371570587158203,Wolfe,False
P8_Extended_Rosenbrock_n100,Newton_wolfe,4,True,3.9866238543009347,6.46710106413705e-07,4,0.005682229995727539,Wolfe,False
P9_Beale,Newton_wolfe,1,True,14.203125,0.0,1,9.012222290039062e-05,Wolfe,False
P10_exponential_10,Newton_wolfe,1000,False,0.999971792270761,0.000714525015093224,51533,0.6672313213348389,Wolfe,False
P11_exponential_1000,Newton_wolfe,1000,False,0.9999999824283248,1.506356378212814e-06,50183,8.42036509513855,Wolfe,False
P12_genhumps_5,Newton_wolfe,1000,False,82216.64827494496,165.2591819933223,49953,0.8961248397827148,Wolfe,False
P1_quad_10_10,Modified_Newton_armijo,1,True,-47.65679872786538,2.321575962437516e-15,1,0.0018923282623291016,Armijo,False
P2_quad_10_1000,Modified_Newton_armijo,1,True,-4214.8009607509175,1.858328716572403e-13,1,0.0014460086822509766,Armijo,False
