method,c1,c2,alpha,tau,avg_iterations,num_converged
SD_armijo,0.3,,0.5,0.5,36.0,1
SD_wolfe,0.3,0.9,0.5,,36.0,1
Newton_armijo,0.3,,2.0,0.5,4.0,1
Newton_wolfe,0.0001,0.2,0.5,,4.0,1
Modified_Newton_armijo,0.3,,2.0,0.5,10.5,2
Modified_Newton_wolfe,0.05,0.3,0.5,,10.0,2
BFGS_armijo,0.3,,2.0,0.5,69.5,2
BFGS_wolfe,0.2,0.3,0.5,,68.0,2
DFP_armijo,0.3,,0.7,0.5,72.0,2
DFP_wolfe,0.3,0.4,0.3,,67.5,2
L_BFGS_armijo,0.1,,2.0,0.5,29.0,2
L_BFGS_wolfe,0.0001,0.3,0.1,,25.0,2
Newton_CG_armijo,0.0001,,1.0,0.5,14.0,2
Newton_CG_wolfe,0.05,0.1,0.5,,12.5,2
